Symbol,CompanyName,Sector,Industry,MarketCapCr,CapCategory
HIMATSEIDE,Himatsingka Seide Limited,Consumer Cyclical,Textile Manufacturing,909.0,Small Cap
HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,233105.0,Large Cap
HINDCOMPOS,Hindustan Composites Limited,Consumer Cyclical,Auto Parts,600.0,Small Cap
HINDCON,Hindcon Chemicals Limited,Basic Materials,Specialty Chemicals,124.0,Small Cap
HINDCOPPER,Hindustan Copper Limited,Basic Materials,Copper,51451.0,Large Cap
HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy,Oil & Gas E&P,2096.0,Small Cap
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,78729.0,Large Cap
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,473208.0,Large Cap
HINDWAREAP,Hindware Home Innovation Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1617.0,Small Cap
HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,251449.0,Large Cap
HIRECT,Hirect Limited,Industrials,Electrical Equipment & Parts,4242.0,Small Cap
HISARMETAL,Hisar Metal Industries Limited,Basic Materials,Steel,81.0,Small Cap
HITECH,Hi-Tech Pipes Limited,Basic Materials,Steel,1640.0,Small Cap
HLEGLAS,HLE Glascoat Limited,Industrials,Specialty Industrial Machinery,2176.0,Small Cap
HLVLTD,HLV Limited,Consumer Cyclical,Lodging,429.0,Small Cap
HMAAGRO,HMA Agro Industries Limited,Consumer Defensive,Packaged Foods,1087.0,Small Cap
HNDFDS,Hindustan Foods Limited,Industrials,Conglomerates,7665.0,Small Cap
HOMEFIRST,Home First Finance Company India Limited,Financial Services,Mortgage Finance,12438.0,Small Cap
HONASA,Honasa Consumer Limited,Consumer Defensive,Household & Personal Products,15846.0,Mid Cap
HONAUT,Honeywell Automation India Limited,Industrials,Electrical Equipment & Parts,32293.0,Mid Cap
HONDAPOWER,Honda India Power Products Limited,Industrials,Specialty Industrial Machinery,2103.0,Small Cap
HPAL,HP Adhesives Limited,Basic Materials,Specialty Chemicals,315.0,Small Cap
HPIL,Hindprakash Industries Limited,Basic Materials,Specialty Chemicals,144.0,Small Cap
HPL,HPL Electric & Power Limited,Industrials,Electrical Equipment & Parts,1999.0,Small Cap
HSCL,Himadri Speciality Chemical Limited,Basic Materials,Specialty Chemicals,33100.0,Mid Cap
HTMEDIA,HT Media Limited,Communication Services,Publishing,621.0,Small Cap
HUBTOWN,Hubtown Limited,Real Estate,Real Estate - Development,2679.0,Small Cap
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,Credit Services,37275.0,Mid Cap
HUHTAMAKI,Huhtamaki India Limited,Consumer Cyclical,Packaging & Containers,2023.0,Small Cap
HYUNDAI,Hyundai Motor India Limited,Consumer Cyclical,Auto Manufacturers,179962.0,Large Cap
ICDSLTD,ICDS Limited,Real Estate,Real Estate Services,52.0,Small Cap
ICEMAKE,Ice Make Refrigeration Limited,Industrials,Specialty Industrial Machinery,1152.0,Small Cap
ICICIAMC,,Financial Services,Asset Management,160753.0,Large Cap
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1020757.0,Large Cap
